muffin,word,food_drink,0.02,0.04,0.09,0.14,0.21,0.2,0.35,0.33,0.43,0.42,0.51,0.56,0.69,0.67,0.75
noodles,word,food_drink,0.09,0.09,0.21,0.26,0.32,0.38,0.46,0.48,0.56,0.56,0.66,0.65,0.8,0.69,0.87
nuts,word,food_drink,0.01,0.03,0.05,0.11,0.12,0.17,0.17,0.26,0.35,0.34,0.51,0.47,0.61,0.62,0.71
orange (food),word,food_drink,0.07,0.11,0.22,0.32,0.34,0.41,0.53,0.61,0.62,0.66,0.79,0.78,0.9,0.87,0.94
pancake,word,food_drink,0.05,0.07,0.17,0.23,0.23,0.26,0.41,0.5,0.55,0.58,0.65,0.72,0.8,0.73,0.88
peas,word,food_drink,0.12,0.09,0.21,0.29,0.28,0.31,0.37,0.47,0.53,0.54,0.65,0.61,0.73,0.65,0.81
peanut butter,word,food_drink,0.03,0.06,0.12,0.22,0.19,0.28,0.41,0.44,0.5,0.58,0.61,0.71,0.82,0.75,0.86
pickle,word,food_drink,0.02,0.05,0.13,0.17,0.17,0.19,0.29,0.4,0.4,0.49,0.55,0.54,0.69,0.64,0.74
pizza,word,food_drink,0.1,0.14,0.31,0.37,0.46,0.48,0.62,0.71,0.74,0.79,0.85,0.89,0.94,0.88,0.96
popcorn,word,food_drink,0.04,0.08,0.18,0.22,0.28,0.33,0.38,0.44,0.58,0.63,0.71,0.69,0.84,0.76,0.9
popsicle,word,food_drink,0.03,0.05,0.14,0.15,0.2,0.27,0.34,0.34,0.41,0.51,0.58,0.64,0.73,0.71,0.78
potato chip,word,food_drink,0.04,0.08,0.18,0.23,0.24,0.32,0.35,0.46,0.51,0.61,0.69,0.64,0.84,0.73,0.86
potato,word,food_drink,0.03,0.06,0.11,0.17,0.2,0.22,0.41,0.41,0.47,0.51,0.58,0.61,0.78,0.73,0.78
pretzel,word,food_drink,0.04,0.05,0.12,0.17,0.19,0.19,0.33,0.34,0.43,0.44,0.46,0.5,0.75,0.59,0.78
pudding,word,food_drink,0.01,0.02,0.06,0.07,0.09,0.09,0.18,0.17,0.26,0.31,0.35,0.34,0.54,0.46,0.61
pumpkin,word,food_drink,0.04,0.05,0.14,0.18,0.2,0.25,0.32,0.39,0.48,0.47,0.56,0.57,0.74,0.65,0.81
raisin,word,food_drink,0.05,0.07,0.19,0.26,0.27,0.31,0.46,0.47,0.56,0.61,0.69,0.71,0.81,0.76,0.88
salt,word,food_drink,0.01,0.01,0.03,0.06,0.09,0.11,0.2,0.17,0.26,0.3,0.35,0.43,0.56,0.5,0.61
sandwich,word,food_drink,0.02,0.03,0.1,0.18,0.19,0.23,0.37,0.44,0.5,0.56,0.61,0.72,0.85,0.79,0.88
sauce,word,food_drink,0.02,0.01,0.05,0.08,0.14,0.11,0.26,0.25,0.33,0.29,0.38,0.39,0.59,0.57,0.64
soda/pop,word,food_drink,0.05,0.07,0.13,0.17,0.22,0.28,0.31,0.36,0.39,0.45,0.53,0.51,0.72,0.59,0.64
soup,word,food_drink,0.04,0.05,0.14,0.18,0.28,0.29,0.41,0.47,0.48,0.56,0.58,0.65,0.76,0.69,0.81
spaghetti,word,food_drink,0.05,0.08,0.15,0.18,0.23,0.28,0.34,0.46,0.55,0.57,0.69,0.68,0.83,0.75,0.88
strawberry,word,food_drink,0.06,0.09,0.17,0.21,0.26,0.35,0.43,0.51,0.54,0.61,0.68,0.65,0.8,0.8,0.86
toast,word,food_drink,0.12,0.12,0.23,0.3,0.35,0.33,0.46,0.54,0.58,0.6,0.68,0.72,0.84,0.72,0.87
tuna,word,food_drink,0.01,0.02,0.05,0.04,0.06,0.1,0.19,0.17,0.17,0.26,0.32,0.36,0.43,0.34,0.43
vanilla,word,food_drink,0,0,0.02,0.03,0.05,0.05,0.08,0.09,0.12,0.19,0.19,0.3,0.35,0.35,0.45
vitamins,word,food_drink,0.02,0.05,0.06,0.12,0.14,0.15,0.22,0.28,0.33,0.41,0.49,0.51,0.61,0.59,0.66
water (beverage),word,food_drink,0.3,0.32,0.48,0.58,0.63,0.62,0.75,0.8,0.84,0.86,0.89,0.95,0.95,0.92,0.95
yogurt,word,food_drink,0.08,0.15,0.28,0.33,0.34,0.38,0.53,0.54,0.57,0.61,0.62,0.71,0.75,0.74,0.87
beads,word,clothing,0.05,0.06,0.09,0.12,0.15,0.18,0.2,0.27,0.28,0.3,0.32,0.3,0.49,0.43,0.58
belt,word,clothing,0.04,0.04,0.12,0.18,0.2,0.23,0.28,0.36,0.42,0.47,0.54,0.56,0.71,0.59,0.76
bib,word,clothing,0.13,0.16,0.3,0.3,0.34,0.36,0.5,0.5,0.57,0.62,0.68,0.63,0.8,0.64,0.76
boots,word,clothing,0.1,0.14,0.26,0.31,0.42,0.46,0.59,0.65,0.65,0.69,0.7,0.77,0.86,0.84,0.88
button,word,clothing,0.18,0.15,0.29,0.38,0.39,0.39,0.55,0.61,0.63,0.66,0.72,0.69,0.89,0.77,0.91
coat,word,clothing,0.09,0.16,0.25,0.36,0.39,0.44,0.57,0.69,0.66,0.68,0.71,0.78,0.82,0.81,0.9
diaper,word,clothing,0.28,0.32,0.49,0.55,0.53,0.69,0.7,0.8,0.81,0.88,0.87,0.87,0.96,0.92,0.96
dress (object),word,clothing,0.05,0.05,0.1,0.17,0.2,0.25,0.35,0.41,0.48,0.48,0.62,0.57,0.74,0.66,0.8
gloves,word,clothing,0.01,0.04,0.07,0.1,0.14,0.14,0.25,0.3,0.36,0.41,0.46,0.48,0.62,0.56,0.66
hat,word,clothing,0.33,0.37,0.54,0.62,0.68,0.69,0.78,0.85,0.85,0.87,0.92,0.89,0.96,0.93,0.95
jacket,word,clothing,0.06,0.09,0.19,0.27,0.29,0.34,0.45,0.5,0.57,0.64,0.66,0.76,0.82,0.76,0.83
jeans,word,clothing,0.02,0.03,0.05,0.09,0.12,0.17,0.22,0.24,0.34,0.37,0.41,0.43,0.6,0.54,0.65
mittens,word,clothing,0.03,0.02,0.1,0.11,0.16,0.2,0.22,0.27,0.36,0.38,0.43,0.5,0.55,0.55,0.63
necklace,word,clothing,0.04,0.09,0.13,0.19,0.19,0.26,0.3,0.4,0.46,0.49,0.54,0.56,0.75,0.63,0.75
pajamas,word,clothing,0.06,0.08,0.2,0.23,0.3,0.34,0.45,0.61,0.61,0.7,0.73,0.77,0.87,0.83,0.92
pants,word,clothing,0.07,0.11,0.24,0.33,0.36,0.48,0.58,0.66,0.69,0.74,0.78,0.86,0.92,0.89,0.97
scarf,word,clothing,0,0,0.03,0.04,0.07,0.09,0.13,0.12,0.15,0.17,0.21,0.21,0.35,0.33,0.42
shirt,word,clothing,0.09,0.16,0.3,0.37,0.42,0.48,0.65,0.69,0.72,0.75,0.81,0.84,0.93,0.86,0.96
shoe,word,clothing,0.51,0.6,0.76,0.83,0.87,0.81,0.92,0.95,0.93,0.94,0.96,0.97,0.98,0.97,0.98
shorts,word,clothing,0.04,0.05,0.11,0.16,0.18,0.23,0.33,0.43,0.47,0.55,0.65,0.71,0.82,0.73,0.81
slipper,word,clothing,0.03,0.02,0.09,0.13,0.14,0.22,0.29,0.36,0.38,0.39,0.52,0.48,0.7,0.57,0.67
sneaker,word,clothing,0.01,0.02,0.04,0.08,0.11,0.1,0.2,0.18,0.2,0.3,0.31,0.36,0.47,0.39,0.48
snowsuit,word,clothing,0,0.01,0.02,0.02,0.02,0.05,0.08,0.09,0.09,0.14,0.18,0.18,0.26,0.2,0.26
sock,word,clothing,0.3,0.22,0.44,0.47,0.46,0.44,0.5,0.59,0.71,0.75,0.82,0.78,0.95,0.79,0.9
sweater,word,clothing,0.07,0.19,0.2,0.3,0.36,0.4,0.53,0.62,0.52,0.54,0.64,0.65,0.68,0.75,0.81
tights,word,clothing,0.01,0.01,0.03,0.02,0.06,0.06,0.14,0.11,0.17,0.2,0.31,0.23,0.33,0.33,0.43
underpants,word,clothing,0.01,0.01,0.04,0.08,0.09,0.12,0.17,0.21,0.26,0.34,0.48,0.49,0.61,0.58,0.71
zipper,word,clothing,0.03,0.05,0.15,0.24,0.23,0.29,0.38,0.46,0.51,0.59,0.64,0.61,0.77,0.67,0.82
ankle,word,body_parts,0,0.01,0.04,0.07,0.08,0.12,0.12,0.18,0.19,0.25,0.29,0.3,0.49,0.36,0.51
arm,word,body_parts,0.08,0.18,0.24,0.36,0.38,0.51,0.57,0.7,0.72,0.76,0.81,0.81,0.93,0.89,0.96
belly button,word,body_parts,0.22,0.3,0.38,0.48,0.54,0.57,0.67,0.72,0.74,0.77,0.82,0.83,0.91,0.83,0.95
buttocks/bottom*,word,body_parts,0.09,0.14,0.26,0.36,0.38,0.49,0.55,0.63,0.68,0.75,0.78,0.8,0.91,0.83,0.9
cheek,word,body_parts,0.06,0.11,0.2,0.29,0.33,0.4,0.55,0.53,0.6,0.66,0.68,0.78,0.84,0.79,0.86
chin,word,body_parts,0.05,0.05,0.19,0.28,0.29,0.34,0.49,0.5,0.56,0.61,0.72,0.7,0.83,0.8,0.84
ear,word,body_parts,0.31,0.45,0.59,0.7,0.7,0.75,0.84,0.92,0.86,0.89,0.92,0.95,0.97,0.95,0.97
eye,word,body_parts,0.43,0.48,0.67,0.73,0.74,0.74,0.83,0.9,0.91,0.92,0.95,0.94,0.99,0.96,0.98
face,word,body_parts,0.05,0.06,0.16,0.26,0.23,0.33,0.44,0.52,0.59,0.61,0.77,0.72,0.86,0.79,0.88
finger,word,body_parts,0.07,0.19,0.28,0.38,0.43,0.52,0.6,0.72,0.74,0.75,0.84,0.84,0.91,0.88,0.96
foot,word,body_parts,0.14,0.15,0.39,0.44,0.46,0.48,0.63,0.71,0.76,0.84,0.87,0.91,0.95,0.9,0.97
hair,word,body_parts,0.21,0.27,0.45,0.55,0.59,0.67,0.73,0.83,0.82,0.86,0.88,0.92,0.97,0.93,0.96
hand,word,body_parts,0.11,0.15,0.29,0.39,0.49,0.57,0.66,0.77,0.74,0.81,0.85,0.89,0.95,0.93,0.95
head,word,body_parts,0.12,0.17,0.28,0.41,0.41,0.51,0.61,0.7,0.74,0.75,0.8,0.85,0.93,0.87,0.96
knee,word,body_parts,0.1,0.13,0.24,0.34,0.34,0.41,0.53,0.6,0.67,0.73,0.76,0.73,0.87,0.79,0.91
leg,word,body_parts,0.04,0.09,0.18,0.29,0.27,0.39,0.52,0.59,0.65,0.72,0.78,0.79,0.89,0.85,0.95
