"data_id","language","form","age","gender","mom_ed","comprehension","production"
49486,"English","WG",10,"Female","College",20,3
49487,"English","WG",10,"Female","Some Secondary",27,5
49488,"English","WG",12,"Female","Secondary",74,5
49489,"English","WG",11,"Male","Secondary",55,0
49490,"English","WG",17,"Female","Graduate",237,23
49491,"English","WG",17,"Female","Graduate",285,24
49492,"English","WG",12,"Female","College",89,16
49493,"English","WG",9,"Female","Secondary",25,0
49494,"English","WG",15,"Female","Secondary",12,0
49495,"English","WG",12,"Male","Some Graduate",75,3
49496,"English","WG",13,"Female","College",87,19
49497,"English","WG",12,"Male","Some Graduate",263,66
49498,"English","WG",14,"Female","College",149,17
49499,"English","WG",18,"Female","Some College",314,135
49500,"English","WG",14,"Male","Graduate",145,16
49501,"English","WG",12,"Male","Some College",47,3
49502,"English","WG",13,"Female","Some College",106,16
49503,"English","WG",11,"Female","Some Secondary",396,213
49504,"English","WG",13,"Female","College",120,31
49505,"English","WG",15,"Female","Secondary",231,43
49506,"English","WG",12,"Female","College",140,22
49507,"English","WG",15,"Male","Secondary",88,17
49508,"English","WG",8,"Female","Some College",12,1
49509,"English","WG",9,"Female","Graduate",45,1
49510,"English","WG",11,"Male","Some College",14,1
49511,"English","WG",16,"Female","Some College",351,237
49512,"English","WG",11,"Male","Secondary",135,3
49513,"English","WG",10,"Female","Some College",52,0
49514,"English","WG",12,"Male","Secondary",59,1
49515,"English","WG",16,"Female","Secondary",122,17
49516,"English","WG",11,"Female","Secondary",52,4
49517,"English","WG",10,"Female","Some College",11,4
49518,"English","WG",11,"Male","Some Graduate",62,2
49519,"English","WG",11,"Female","Secondary",148,32
49520,"English","WG",9,"Female","College",21,0
49521,"English","WG",10,"Male","College",31,0
49522,"English","WG",9,"Female","Some College",33,0
49523,"English","WG",16,"Female","College",393,240
49524,"English","WG",15,"Male","Some College",191,42
49525,"English","WG",15,"Male","Some Graduate",153,53
49526,"English","WG",14,"Male","Graduate",181,23
49527,"English","WG",12,"Female","Some College",128,2
49528,"English","WG",14,"Female","Secondary",240,111
49529,"English","WG",11,"Male","Graduate",15,1
49530,"English","WG",16,"Male","Some College",123,12
49531,"English","WG",13,"Female","College",28,5
49532,"English","WG",12,"Male","College",19,0
49533,"English","WG",12,"Male","College",136,0
49534,"English","WG",15,"Female","Some College",214,81
49535,"English","WG",9,"Male","Some Graduate",29,0
49536,"English","WG",15,"Female","Secondary",302,84
49537,"English","WG",13,"Female","College",164,19
49538,"English","WG",10,"Female","Some College",8,0
49539,"English","WG",14,"Female","Some College",139,6
49540,"English","WG",8,"Female","College",38,5
49541,"English","WG",11,"Male","Secondary",81,1
49542,"English","WG",14,"Male","College",243,82
49543,"English","WG",9,"Female","Graduate",102,5
49544,"English","WG",10,"Male","College",39,1
49545,"English","WG",8,"Male","Some Graduate",57,7
49546,"English","WG",8,"Male","College",7,0
49547,"English","WG",8,"Male","Secondary",30,0
49548,"English","WG",11,"Male","Some Graduate",121,11
49549,"English","WG",11,"Female","Graduate",24,4
49550,"English","WG",15,"Male","Secondary",73,29
49551,"English","WG",16,"Male","Secondary",134,64
49552,"English","WG",14,"Male","College",142,25
49553,"English","WG",10,"Male","Graduate",140,0
49554,"English","WG",14,"Male","College",243,48
49555,"English","WG",9,"Female","Some College",10,4
49556,"English","WG",11,"Female","Secondary",105,1
49557,"English","WG",13,"Female","Some College",268,24
49558,"English","WG",8,"Male","Graduate",23,0
49559,"English","WG",9,"Female","College",17,4
49560,"English","WG",8,"Female","Some College",3,0
49561,"English","WG",13,"Female","Graduate",96,0
49562,"English","WG",14,"Male","College",68,11
49563,"English","WG",12,"Female","College",98,7
49564,"English","WG",15,"Female","Some College",69,18
49565,"English","WG",14,"Female","College",91,7
49566,"English","WG",13,"Male","Some College",52,1
49567,"English","WG",15,"Female","Some College",324,52
49568,"English","WG",16,"Male","Secondary",218,8
49569,"English","WG",13,"Female","Some College",135,2
49570,"English","WG",12,"Female","Some Graduate",242,20
49571,"English","WG",13,"Male","Secondary",90,16
49572,"English","WG",12,"Female","Some College",119,12
49573,"English","WG",8,"Male","Some College",13,0
49574,"English","WG",14,"Female","Some College",56,3
49575,"English","WG",9,"Male","College",26,2
49576,"English","WG",9,"Female","College",96,1
49577,"English","WG",11,"Male","Some College",35,0
49578,"English","WG",15,"Female","Some Graduate",45,18
49579,"English","WG",12,"Male","Some College",171,13
49580,"English","WG",13,"Male","Graduate",194,5
49581,"English","WG",12,"Male","College",56,0
49582,"English","WG",13,"Female","Secondary",119,27
49583,"English","WG",15,"Male","College",108,35
49584,"English","WG",11,"Male","College",38,7
49585,"English","WG",12,"Male","Some College",37,5
49586,"English","WG",12,"Female","Some College",99,31
49587,"English","WG",11,"Female","Some College",111,0
49588,"English","WG",13,"Male","Graduate",275,107
49589,"English","WG",16,"Male","College",175,11
49590,"English","WG",11,"Male","College",48,0
49591,"English","WG",14,"Male","College",80,25
49592,"English","WG",12,"Female","College",120,23
49593,"English","WG",14,"Male","College",102,5
49594,"English","WG",8,"Female","College",8,0
49595,"English","WG",16,"Male","College",184,48
49596,"English","WG",11,"Male","Some College",99,0
49597,"English","WG",9,"Male","Some Graduate",20,4
49598,"English","WG",13,"Female","College",158,10
49599,"English","WG",11,"Male","Some College",6,1
49600,"English","WG",13,"Female","Some College",170,17
49601,"English","WG",14,"Female","Some College",210,49
49602,"English","WG",14,"Female","Secondary",125,64
